Gene;Androgen human and mouse;Estrogen human and mouse and rat;Glucocorticoid human and mouse and rat;Peroxisome proliferator-activated receptor human and mouse and rat;Progesterone receptor human and mouse;RA human and mouse;Thyroid hormone only mouse
ATAD2;;;;;;;Thyroid hormone
ASAP2;;;;;;;Thyroid hormone
SNAI2;;;;;;;Thyroid hormone
MALT1;;;;;;;Thyroid hormone
SERPINI1;;;;;;;Thyroid hormone
MPHOSPH9;;;;;;;Thyroid hormone
ZBTB10;;;;;;;Thyroid hormone
PEG3;;;;;;;Thyroid hormone
MAK;;;;;;;Thyroid hormone
LIFR;;;;;;;Thyroid hormone
WIPI1;;;;;;;Thyroid hormone
SSBP2;;;;;;;Thyroid hormone
DNASE2B;;;;;;;Thyroid hormone
AZGP1;;;;;;;Thyroid hormone
ELOVL7;;;;;;;Thyroid hormone
CAMKK2;;;;;;;Thyroid hormone
PELI2;;;;;;;Thyroid hormone
VPS54;;;;;;;Thyroid hormone
INTS8;;;;;;;Thyroid hormone
FNBP1L;;;;;;;Thyroid hormone
KCNS3;;;;;;;Thyroid hormone
TWIST1;;;;;;;Thyroid hormone
NCOA7;;;;;;;Thyroid hormone
MAP9;;;;;;;Thyroid hormone
SEC24B;;;;;;;Thyroid hormone
IMPDH1;;;;;;;Thyroid hormone
SCAP;;;;;;;Thyroid hormone
ACSM3;;;;;;;Thyroid hormone
SETBP1;;;;;;;Thyroid hormone
KCTD3;;;;;;;Thyroid hormone
HILPDA;;;;;;;Thyroid hormone
COBL;;;;;;;Thyroid hormone
CPNE3;;;;;;;Thyroid hormone
TMEM138;;;;;;;Thyroid hormone
NPTN;;;;;;;Thyroid hormone
LRIG3;;;;;;;Thyroid hormone
SLC41A1;;;;;;;Thyroid hormone
IL17RB;;;;;;;Thyroid hormone
DNAJC10;;;;;;;Thyroid hormone
TPX2;;;;;;;Thyroid hormone
EPN2;;;;;;;Thyroid hormone
MAP2K4;;;;;;;Thyroid hormone
OTULIN;;;;;;;Thyroid hormone
CBLN2;;;;;;;Thyroid hormone
SLC37A3;;;;;;;Thyroid hormone
NDFIP2;;;;;;;Thyroid hormone
SHOC2;;;;;;;Thyroid hormone
ZBTB24;;;;;;;Thyroid hormone
NINL;;;;;;;Thyroid hormone
CYP2U1;;;;;;;Thyroid hormone
VRK1;;;;;;;Thyroid hormone
PKD2;;;;;;;Thyroid hormone
BMPR1A;;;;;;;Thyroid hormone
MCU;;;;;;;Thyroid hormone
ZBTB34;;;;;;;Thyroid hormone
LTN1;;;;;;;Thyroid hormone
YOD1;;;;;;;Thyroid hormone
ATG3;;;;;;;Thyroid hormone
PAK2;;;;;;;Thyroid hormone
IER5;;;;;;;Thyroid hormone
TNFRSF10B;;;;;;;Thyroid hormone
SMAP1;;;;;;;Thyroid hormone
TTLL12;;;;;;;Thyroid hormone
FIGNL1;;;;;;;Thyroid hormone
NCAM2;;;;;;;Thyroid hormone
DCAF6;;;;;;;Thyroid hormone
KDM5B;;;;;;;Thyroid hormone
STT3A;;;;;;;Thyroid hormone
MMP10;;;;;;;Thyroid hormone
MKLN1;;;;;;;Thyroid hormone
AUTS2;;;;;;;Thyroid hormone
TNFSF15;;;;;;;Thyroid hormone
FBXL7;;;;;;;Thyroid hormone
AGR2;;;;;;;Thyroid hormone
SUMF1;;;;;;;Thyroid hormone
CYB5D2;;;;;;;Thyroid hormone
NDUFB4;;;;;;;Thyroid hormone
HGD;;;;;;;Thyroid hormone
ARHGAP29;;;;;;;Thyroid hormone
HOMER1;;;;;;;Thyroid hormone
RNF43;;;;;;;Thyroid hormone
PPFIBP1;;;;;;;Thyroid hormone
PKNOX2;;;;;;;Thyroid hormone
SEC61A1;;;;;;;Thyroid hormone
QSOX1;;;;;;;Thyroid hormone
XRCC3;;;;;;;Thyroid hormone
KCNMA1;;;;;;;Thyroid hormone
SLC38A6;;;;;;;Thyroid hormone
FIBP;;;;;;;Thyroid hormone
PFKM;;;;;;;Thyroid hormone
TMED7;;;;;;;Thyroid hormone
GAREM1;;;;;;;Thyroid hormone
MYO5C;;;;;;;Thyroid hormone
TARSL2;;;;;;;Thyroid hormone
INTS10;;;;;;;Thyroid hormone
RALGAPB;;;;;;;Thyroid hormone
FSCN1;;;;;;;Thyroid hormone
CDR2L;;;;;;;Thyroid hormone
KCNG1;;;;;;;Thyroid hormone
RALGPS1;;;;;;;Thyroid hormone
TM9SF3;;;;;;;Thyroid hormone
ANKMY2;;;;;;;Thyroid hormone
GOLGB1;;;;;;;Thyroid hormone
NUBP1;;;;;;;Thyroid hormone
RPS6KA3;;;;;;;Thyroid hormone
FAM222B;;;;;;;Thyroid hormone
TLR3;;;;;;;Thyroid hormone
TRIM21;;;;;;;Thyroid hormone
EML1;;;;;;;Thyroid hormone
CYP39A1;;;;;;;Thyroid hormone
PDZK1IP1;;;;;;;Thyroid hormone
CREBL2;;;;;;;Thyroid hormone
ORM2;;;;;;;Thyroid hormone
WWC1;;;;;;;Thyroid hormone
RTN4IP1;;;;;;;Thyroid hormone
CSNK1G3;;;;;;;Thyroid hormone
EXOC1;;;;;;;Thyroid hormone
GPATCH2;;;;;;;Thyroid hormone
PTPN21;;;;;;;Thyroid hormone
E2F3;;;;;;;Thyroid hormone
GAS2;;;;;;;Thyroid hormone
SPATA2;;;;;;;Thyroid hormone
TRAM1;;;;;;;Thyroid hormone
ZFHX3;;;;;;;Thyroid hormone
TMEM243;;;;;;;Thyroid hormone
TCF7L2;;;;;;;Thyroid hormone
INTS12;;;;;;;Thyroid hormone
RBM4B;;;;;;;Thyroid hormone
MNS1;;;;;;;Thyroid hormone
MAP3K14;;;;;;;Thyroid hormone
G3BP2;;;;;;;Thyroid hormone
ZCWPW1;;;;;;;Thyroid hormone
TSPYL2;;;;;;;Thyroid hormone
SLC4A4;;;;;;;Thyroid hormone
PTGFR;;;;;;;Thyroid hormone
INPP5A;;;;;;;Thyroid hormone
NBDY;;;;;;;Thyroid hormone
FKTN;;;;;;;Thyroid hormone
ITGA2;;;;;;;Thyroid hormone
SDR39U1;;;;;;;Thyroid hormone
CCDC189;;;;;;;Thyroid hormone
ARHGEF2;;;;;;;Thyroid hormone
MOCOS;;;;;;;Thyroid hormone
NCK2;;;;;;;Thyroid hormone
RFXANK;;;;;;;Thyroid hormone
MIS18BP1;;;;;;;Thyroid hormone
LSM6;;;;;;;Thyroid hormone
PRRG4;;;;;;;Thyroid hormone
TCAF1;;;;;;;Thyroid hormone
SIRT1;;;;;;;Thyroid hormone
TMEM94;;;;;;;Thyroid hormone
TBL1X;;;;;;;Thyroid hormone
NEK2;;;;;;;Thyroid hormone
CCNB1IP1;;;;;;;Thyroid hormone
DENND5B;;;;;;;Thyroid hormone
PRKAA1;;;;;;;Thyroid hormone
MCTP2;;;;;;;Thyroid hormone
ATRIP;;;;;;;Thyroid hormone
DHDH;;;;;;;Thyroid hormone
ZCCHC17;;;;;;;Thyroid hormone
SESN3;;;;;;;Thyroid hormone
STOX1;;;;;;;Thyroid hormone
ZFP30;;;;;;;Thyroid hormone
PDSS2;;;;;;;Thyroid hormone
FOXN3;;;;;;;Thyroid hormone
FAM228B;;;;;;;Thyroid hormone
HSPA2;;;;;;;Thyroid hormone
NIPAL3;;;;;;;Thyroid hormone
RNF115;;;;;;;Thyroid hormone
CRNKL1;;;;;;;Thyroid hormone
SLC35A1;;;;;;;Thyroid hormone
SPOUT1;;;;;;;Thyroid hormone
FMO4;;;;;;;Thyroid hormone
GABBR1;;;;;;;Thyroid hormone
TRAIP;;;;;;;Thyroid hormone
AMT;;;;;;;Thyroid hormone
NFIX;;;;;;;Thyroid hormone
CCNH;;;;;;;Thyroid hormone
SGSM2;;;;;;;Thyroid hormone
ME2;;;;;;;Thyroid hormone
ACTR10;;;;;;;Thyroid hormone
PPM1E;;;;;;;Thyroid hormone
MYBL2;;;;;;;Thyroid hormone
USP25;;;;;;;Thyroid hormone
ZSWIM6;;;;;;;Thyroid hormone
FMR1;;;;;;;Thyroid hormone
NCOA3;;;;;;;Thyroid hormone
MMEL1;;;;;;;Thyroid hormone
MMAB;;;;;;;Thyroid hormone
MMAA;;;;;;;Thyroid hormone
AASDH;;;;;;;Thyroid hormone
FGD4;;;;;;;Thyroid hormone
SPDYA;;;;;;;Thyroid hormone
UBALD2;;;;;;;Thyroid hormone
POC1A;;;;;;;Thyroid hormone
C1RL;;;;;;;Thyroid hormone
CEP170;;;;;;;Thyroid hormone
SLC30A10;;;;;;;Thyroid hormone
MAGT1;;;;;;;Thyroid hormone
MTFR2;;;;;;;Thyroid hormone
GPRIN2;;;;;;;Thyroid hormone
TPRA1;;;;;;;Thyroid hormone
HIST1H2AK;;;;;;;Thyroid hormone
SMG5;;;;;;;Thyroid hormone
CNPY3;;;;;;;Thyroid hormone
TRIM33;;;;;;;Thyroid hormone
STRN3;;;;;;;Thyroid hormone
ROBO1;;;;;;;Thyroid hormone
SNAPC4;;;;;;;Thyroid hormone
CLSTN3;;;;;;;Thyroid hormone
CNNM4;;;;;;;Thyroid hormone
HIST1H2BG;;;;;;;Thyroid hormone
ABCB7;;;;;;;Thyroid hormone
LIF;;;;;;;Thyroid hormone
BBS7;;;;;;;Thyroid hormone
PPP3CB;;;;;;;Thyroid hormone
CEP83;;;;;;;Thyroid hormone
PCGF2;;;;;;;Thyroid hormone
VASP;;;;;;;Thyroid hormone
HYAL3;;;;;;;Thyroid hormone
TBC1D15;;;;;;;Thyroid hormone
HIST1H4B;;;;;;;Thyroid hormone
RAB5A;;;;;;;Thyroid hormone
HIST1H4C;;;;;;;Thyroid hormone
BET1L;;;;;;;Thyroid hormone
MEX3C;;;;;;;Thyroid hormone
SLC9A7;;;;;;;Thyroid hormone
TBC1D30;;;;;;;Thyroid hormone
TBCK;;;;;;;Thyroid hormone
ZSWIM5;;;;;;;Thyroid hormone
ZNRF3;;;;;;;Thyroid hormone
SNX30;;;;;;;Thyroid hormone
DNAJC25;;;;;;;Thyroid hormone
EME1;;;;;;;Thyroid hormone
EXOSC3;;;;;;;Thyroid hormone
COA5;;;;;;;Thyroid hormone
CLYBL;;;;;;;Thyroid hormone
RILP;;;;;;;Thyroid hormone
PRIMPOL;;;;;;;Thyroid hormone
HECTD2;;;;;;;Thyroid hormone
BRIP1;;;;;;;Thyroid hormone
SLC25A16;;;;;;;Thyroid hormone
SLC35G2;;;;;;;Thyroid hormone
DUSP27;;;;;;;Thyroid hormone
LARP4B;;;;;;;Thyroid hormone
EMC9;;;;;;;Thyroid hormone
RSAD1;;;;;;;Thyroid hormone
GABRB3;;;;;;;Thyroid hormone
SCRN1;;;;;;;Thyroid hormone
ETNPPL;;;;;;;Thyroid hormone
IGSF3;;;;;;;Thyroid hormone
CPS1;;;;;;;Thyroid hormone
SDHA;;;;;;;Thyroid hormone
SLC52A2;;;;;;;Thyroid hormone
KIF13B;;;;;;;Thyroid hormone
ARL8B;;;;;;;Thyroid hormone
ABCA5;;;;;;;Thyroid hormone
CTBS;;;;;;;Thyroid hormone
CCDC90B;;;;;;;Thyroid hormone
RASGRP1;;;;;;;Thyroid hormone
LGALS4;;;;;;;Thyroid hormone
SCAPER;;;;;;;Thyroid hormone
RBM41;;;;;;;Thyroid hormone
GMFB;;;;;;;Thyroid hormone
DSE;;;;;;;Thyroid hormone
DOCK4;;;;;;;Thyroid hormone
CTSO;;;;;;;Thyroid hormone
TNIK;;;;;;;Thyroid hormone
IFT81;;;;;;;Thyroid hormone
KLHL26;;;;;;;Thyroid hormone
FBXL2;;;;;;;Thyroid hormone
ATRX;;;;;;;Thyroid hormone
NUP62CL;;;;;;;Thyroid hormone
TOMM34;;;;;;;Thyroid hormone
LAMA1;;;;;;;Thyroid hormone
PHF10;;;;;;;Thyroid hormone
ATP7B;;;;;;;Thyroid hormone
DCUN1D2;;;;;;;Thyroid hormone
GNG4;;;;;;;Thyroid hormone
MIR99AHG;;;;;;;Thyroid hormone
DEGS2;;;;;;;Thyroid hormone
RCOR2;;;;;;;Thyroid hormone
LYRM7;;;;;;;Thyroid hormone
FAM120B;;;;;;;Thyroid hormone
DNAL1;;;;;;;Thyroid hormone
GSTM3;;;;;;;Thyroid hormone
ABHD10;;;;;;;Thyroid hormone
METTL4;;;;;;;Thyroid hormone
LYRM4;;;;;;;Thyroid hormone
CHGA;;;;;;;Thyroid hormone
SNORA70;;;;;;;Thyroid hormone
SLC2A6;;;;;;;Thyroid hormone
RBFOX2;;;;;;;Thyroid hormone
TTC37;;;;;;;Thyroid hormone
PLD6;;;;;;;Thyroid hormone
XRCC5;;;;;;;Thyroid hormone
INTS6;;;;;;;Thyroid hormone
CASK;;;;;;;Thyroid hormone
DUSP8;;;;;;;Thyroid hormone
STAU2;;;;;;;Thyroid hormone
FASTKD1;;;;;;;Thyroid hormone
RING1;;;;;;;Thyroid hormone
KIF2A;;;;;;;Thyroid hormone
ANKRD26;;;;;;;Thyroid hormone
SPTBN5;;;;;;;Thyroid hormone
AUNIP;;;;;;;Thyroid hormone
POLR2I;;;;;;;Thyroid hormone
CBX4;;;;;;;Thyroid hormone
AKIP1;;;;;;;Thyroid hormone
TBKBP1;;;;;;;Thyroid hormone
BCL9;;;;;;;Thyroid hormone
CASC3;;;;;;;Thyroid hormone
SCMH1;;;;;;;Thyroid hormone
ATG5;;;;;;;Thyroid hormone
PTDSS2;;;;;;;Thyroid hormone
FERMT2;;;;;;;Thyroid hormone
PAK3;;;;;;;Thyroid hormone
ATRN;;;;;;;Thyroid hormone
GLOD4;;;;;;;Thyroid hormone
MAN2A2;;;;;;;Thyroid hormone
KLHDC3;;;;;;;Thyroid hormone
SPR;;;;;;;Thyroid hormone
CPD;;;;;;;Thyroid hormone
ARHGAP28;;;;;;;Thyroid hormone
ELMO2;;;;;;;Thyroid hormone
DUSP3;;;;;;;Thyroid hormone
PSD4;;;;;;;Thyroid hormone
SNHG12;;;;;;;Thyroid hormone
SNHG6;;;;;;;Thyroid hormone
ZIK1;;;;;;;Thyroid hormone
TMEM64;;;;;;;Thyroid hormone
DRAM2;;;;;;;Thyroid hormone
SMIM20;;;;;;;Thyroid hormone
CLMN;;;;;;;Thyroid hormone
NDUFC2;;;;;;;Thyroid hormone
PGAP1;;;;;;;Thyroid hormone
RPE;;;;;;;Thyroid hormone
CHRNB1;;;;;;;Thyroid hormone
TMPRSS6;;;;;;;Thyroid hormone
DYNC1LI1;;;;;;;Thyroid hormone
FSD1L;;;;;;;Thyroid hormone
LMNTD2;;;;;;;Thyroid hormone
MICU3;;;;;;;Thyroid hormone
SWSAP1;;;;;;;Thyroid hormone
TMEM44;;;;;;;Thyroid hormone
DIRC2;;;;;;;Thyroid hormone
GTF3C6;;;;;;;Thyroid hormone
DIS3L2;;;;;;;Thyroid hormone
DCAF8;;;;;;;Thyroid hormone
CISD3;;;;;;;Thyroid hormone
RPRD1A;;;;;;;Thyroid hormone
KDM5D;;;;;;;Thyroid hormone
BRD7;;;;;;;Thyroid hormone
SETD1B;;;;;;;Thyroid hormone
EFR3A;;;;;;;Thyroid hormone
PLPPR1;;;;;;;Thyroid hormone
RHBDL2;;;;;;;Thyroid hormone
SYS1;;;;;;;Thyroid hormone
SLC51B;;;;;;;Thyroid hormone
COLCA2;;;;;;;Thyroid hormone
BHLHB9;;;;;;;Thyroid hormone
PRKACB;;;;;;;Thyroid hormone
CHMP2B;;;;;;;Thyroid hormone
ACTA2;;;;;;;Thyroid hormone
SELL;;;;;;;Thyroid hormone
IKBKE;;;;;;;Thyroid hormone
SHTN1;;;;;;;Thyroid hormone
SATB2;;;;;;;Thyroid hormone
LAMA5;;;;;;;Thyroid hormone
NLRP2;;;;;;;Thyroid hormone
MBD5;;;;;;;Thyroid hormone
PCSK1N;;;;;;;Thyroid hormone
UBFD1;;;;;;;Thyroid hormone
BUB3;;;;;;;Thyroid hormone
DPYSL3;;;;;;;Thyroid hormone
ABCA3;;;;;;;Thyroid hormone
NEO1;;;;;;;Thyroid hormone
SUCLA2;;;;;;;Thyroid hormone
LMBR1L;;;;;;;Thyroid hormone
SLC35A3;;;;;;;Thyroid hormone
EXOC3;;;;;;;Thyroid hormone
LEMD3;;;;;;;Thyroid hormone
FGL1;;;;;;;Thyroid hormone
ZSWIM8;;;;;;;Thyroid hormone
LIN7A;;;;;;;Thyroid hormone
GTPBP8;;;;;;;Thyroid hormone
CEP85;;;;;;;Thyroid hormone
ENY2;;;;;;;Thyroid hormone
MYH9;;;;;;;Thyroid hormone
CUL7;;;;;;;Thyroid hormone
SLC38A1;;;;;;;Thyroid hormone
IL15RA;;;;;;;Thyroid hormone
GPRC5C;;;;;;;Thyroid hormone
CHMP5;;;;;;;Thyroid hormone
EPHA1;;;;;;;Thyroid hormone
JARID2;;;;;;;Thyroid hormone
WDR41;;;;;;;Thyroid hormone
RNF24;;;;;;;Thyroid hormone
OSBP2;;;;;;;Thyroid hormone
RPUSD2;;;;;;;Thyroid hormone
TBK1;;;;;;;Thyroid hormone
TTBK2;;;;;;;Thyroid hormone
CLCC1;;;;;;;Thyroid hormone
TMEM135;;;;;;;Thyroid hormone
CCDC69;;;;;;;Thyroid hormone
MB21D2;;;;;;;Thyroid hormone
FPR1;;;;;;;Thyroid hormone
TMCO3;;;;;;;Thyroid hormone
MAST3;;;;;;;Thyroid hormone
THSD7A;;;;;;;Thyroid hormone
UBE2A;;;;;;;Thyroid hormone
ALDH8A1;;;;;;;Thyroid hormone
TLDC1;;;;;;;Thyroid hormone
MISP;;;;;;;Thyroid hormone
CHGB;;;;;;;Thyroid hormone
GRK3;;;;;;;Thyroid hormone
ANKRD2;;;;;;;Thyroid hormone
CYP1A2;;;;;;;Thyroid hormone
PARVA;;;;;;;Thyroid hormone
PEG10;;;;;;;Thyroid hormone
DAB1;;;;;;;Thyroid hormone
APOF;;;;;;;Thyroid hormone
ADM2;;;;;;;Thyroid hormone
SAP30BP;;;;;;;Thyroid hormone
CEP126;;;;;;;Thyroid hormone
PTAR1;;;;;;;Thyroid hormone
TRIQK;;;;;;;Thyroid hormone
ACKR2;;;;;;;Thyroid hormone
ESCO1;;;;;;;Thyroid hormone
KBTBD6;;;;;;;Thyroid hormone
CCDC151;;;;;;;Thyroid hormone
SPTY2D1;;;;;;;Thyroid hormone
INTU;;;;;;;Thyroid hormone
FBXL20;;;;;;;Thyroid hormone
NAALADL2;;;;;;;Thyroid hormone
PAPD4;;;;;;;Thyroid hormone
TMTC4;;;;;;;Thyroid hormone
TMEM266;;;;;;;Thyroid hormone
TMEM237;;;;;;;Thyroid hormone
LMLN;;;;;;;Thyroid hormone
TMEM198B;;;;;;;Thyroid hormone
LYSMD4;;;;;;;Thyroid hormone
PLSCR3;;;;;;;Thyroid hormone
ELL3;;;;;;;Thyroid hormone
MAGEA3;;;;;;;Thyroid hormone
RAB3GAP1;;;;;;;Thyroid hormone
FAN1;;;;;;;Thyroid hormone
LEAP2;;;;;;;Thyroid hormone
MGAT4A;;;;;;;Thyroid hormone
MKL2;;;;;;;Thyroid hormone
PIGV;;;;;;;Thyroid hormone
RBX1;;;;;;;Thyroid hormone
CDKN2AIP;;;;;;;Thyroid hormone
UROS;;;;;;;Thyroid hormone
SLC26A6;;;;;;;Thyroid hormone
DIO3;;;;;;;Thyroid hormone
PIGL;;;;;;;Thyroid hormone
PSMC2;;;;;;;Thyroid hormone
MAP3K13;;;;;;;Thyroid hormone
HIST1H3G;;;;;;;Thyroid hormone
ZBTB5;;;;;;;Thyroid hormone
NRAS;;;;;;;Thyroid hormone
IL10RA;;;;;;;Thyroid hormone
GNG5;;;;;;;Thyroid hormone
ABHD11;;;;;;;Thyroid hormone
SRRD;;;;;;;Thyroid hormone
ADCK2;;;;;;;Thyroid hormone
PSMA3;;;;;;;Thyroid hormone
SP3;;;;;;;Thyroid hormone
TMEM104;;;;;;;Thyroid hormone
PSEN2;;;;;;;Thyroid hormone
VPREB3;;;;;;;Thyroid hormone
CCDC130;;;;;;;Thyroid hormone
CIT;;;;;;;Thyroid hormone
TUBA1B;;;;;;;Thyroid hormone
DENND1A;;;;;;;Thyroid hormone
ACSM1;;;;;;;Thyroid hormone
CYP2R1;;;;;;;Thyroid hormone
HPCAL4;;;;;;;Thyroid hormone
TCTN3;;;;;;;Thyroid hormone
CARTPT;;;;;;;Thyroid hormone
HCCS;;;;;;;Thyroid hormone
GTF3C1;;;;;;;Thyroid hormone
KIF16B;;;;;;;Thyroid hormone
TRPC4AP;;;;;;;Thyroid hormone
TOP2B;;;;;;;Thyroid hormone
CUL4B;;;;;;;Thyroid hormone
PLCG2;;;;;;;Thyroid hormone
BBS10;;;;;;;Thyroid hormone
RAF1;;;;;;;Thyroid hormone
POLI;;;;;;;Thyroid hormone
FERMT1;;;;;;;Thyroid hormone
ATG7;;;;;;;Thyroid hormone
TMEM248;;;;;;;Thyroid hormone
HIST1H2BF;;;;;;;Thyroid hormone
RPS6KA4;;;;;;;Thyroid hormone
NBEAL2;;;;;;;Thyroid hormone
PER3;;;;;;;Thyroid hormone
FAM45A;;;;;;;Thyroid hormone
DZIP1L;;;;;;;Thyroid hormone
RBAKDN;;;;;;;Thyroid hormone
NKX1-1;;;;;;;Thyroid hormone
DENND4B;;;;;;;Thyroid hormone
SLC10A5;;;;;;;Thyroid hormone
PLEKHM3;;;;;;;Thyroid hormone
FAM187B;;;;;;;Thyroid hormone
SNHG3;;;;;;;Thyroid hormone
FAM3B;;;;;;;Thyroid hormone
ANKS4B;;;;;;;Thyroid hormone
SUSD1;;;;;;;Thyroid hormone
RGP1;;;;;;;Thyroid hormone
CAMK1D;;;;;;;Thyroid hormone
PET100;;;;;;;Thyroid hormone
ETV4;;;;;;;Thyroid hormone
IMPACT;;;;;;;Thyroid hormone
PROZ;;;;;;;Thyroid hormone
GUCA2B;;;;;;;Thyroid hormone
HIST1H4F;;;;;;;Thyroid hormone
PTPRN2;;;;;;;Thyroid hormone
F10;;;;;;;Thyroid hormone
ULBP1;;;;;;;Thyroid hormone
SERPINF2;;;;;;;Thyroid hormone
NME5;;;;;;;Thyroid hormone
ZBED5;;;;;;;Thyroid hormone
TUBGCP4;;;;;;;Thyroid hormone
SLC6A16;;;;;;;Thyroid hormone
CPB2;;;;;;;Thyroid hormone
MZT1;;;;;;;Thyroid hormone
FAM102B;;;;;;;Thyroid hormone
ARL16;;;;;;;Thyroid hormone
SPATA24;;;;;;;Thyroid hormone
COA6;;;;;;;Thyroid hormone
NPB;;;;;;;Thyroid hormone
BEND7;;;;;;;Thyroid hormone
SULT4A1;;;;;;;Thyroid hormone
AMER1;;;;;;;Thyroid hormone
UPRT;;;;;;;Thyroid hormone
RAB9B;;;;;;;Thyroid hormone
ATL3;;;;;;;Thyroid hormone
GATAD2B;;;;;;;Thyroid hormone
CCDC17;;;;;;;Thyroid hormone
PGBD1;;;;;;;Thyroid hormone
SLC38A11;;;;;;;Thyroid hormone
RNF148;;;;;;;Thyroid hormone
ARL5B;;;;;;;Thyroid hormone
TMEM65;;;;;;;Thyroid hormone
TMEM25;;;;;;;Thyroid hormone
KCNH3;;;;;;;Thyroid hormone
AEBP2;;;;;;;Thyroid hormone
MOB3A;;;;;;;Thyroid hormone
CNOT10;;;;;;;Thyroid hormone
EIF2A;;;;;;;Thyroid hormone
STIM2;;;;;;;Thyroid hormone
SYAP1;;;;;;;Thyroid hormone
RANBP3L;;;;;;;Thyroid hormone
SBDS;;;;;;;Thyroid hormone
VNN3;;;;;;;Thyroid hormone
HIST1H2AI;;;;;;;Thyroid hormone
PLEKHA2;;;;;;;Thyroid hormone
SRSF7;;;;;;;Thyroid hormone
HMGXB4;;;;;;;Thyroid hormone
TRAPPC8;;;;;;;Thyroid hormone
PPIL6;;;;;;;Thyroid hormone
TMEM126B;;;;;;;Thyroid hormone
PDPR;;;;;;;Thyroid hormone
EIF2AK1;;;;;;;Thyroid hormone
PLPPR2;;;;;;;Thyroid hormone
MUL1;;;;;;;Thyroid hormone
NECAB2;;;;;;;Thyroid hormone
COQ9;;;;;;;Thyroid hormone
ZBTB25;;;;;;;Thyroid hormone
RGS4;;;;;;;Thyroid hormone
BLCAP;;;;;;;Thyroid hormone
FAAP100;;;;;;;Thyroid hormone
ZSCAN12;;;;;;;Thyroid hormone
SPOCK2;;;;;;;Thyroid hormone
RABGGTA;;;;;;;Thyroid hormone
HERC2;;;;;;;Thyroid hormone
SOSTDC1;;;;;;;Thyroid hormone
ASPH;;;;;;;Thyroid hormone
CFDP1;;;;;;;Thyroid hormone
TMCC1;;;;;;;Thyroid hormone
RABIF;;;;;;;Thyroid hormone
MAD2L1BP;;;;;;;Thyroid hormone
ACTG1;;;;;;;Thyroid hormone
BMP1;;;;;;;Thyroid hormone
CARD9;;;;;;;Thyroid hormone
MAS1;;;;;;;Thyroid hormone
VPS37C;;;;;;;Thyroid hormone
TMEM208;;;;;;;Thyroid hormone
FNDC4;;;;;;;Thyroid hormone
SMC5;;;;;;;Thyroid hormone
CEBPG;;;;;;;Thyroid hormone
XKR8;;;;;;;Thyroid hormone
HSF2;;;;;;;Thyroid hormone
SBNO2;;;;;;;Thyroid hormone
RNF141;;;;;;;Thyroid hormone
FRAT1;;;;;;;Thyroid hormone
TLN2;;;;;;;Thyroid hormone
LY96;;;;;;;Thyroid hormone
SLC7A1;;;;;;;Thyroid hormone
PCBP2;;;;;;;Thyroid hormone
LRP2BP;;;;;;;Thyroid hormone
FAHD2A;;;;;;;Thyroid hormone
LFNG;;;;;;;Thyroid hormone
CENPB;;;;;;;Thyroid hormone
NCOR1;;;;;;;Thyroid hormone
KAT8;;;;;;;Thyroid hormone
DOT1L;;;;;;;Thyroid hormone
GIGYF2;;;;;;;Thyroid hormone
FBXO3;;;;;;;Thyroid hormone
EXTL1;;;;;;;Thyroid hormone
SMAD9;;;;;;;Thyroid hormone
ING3;;;;;;;Thyroid hormone
GNS;;;;;;;Thyroid hormone
NR1H2;;;;;;;Thyroid hormone
TYMP;;;;;;;Thyroid hormone
PACRG;;;;;;;Thyroid hormone
DLAT;;;;;;;Thyroid hormone
KCNAB2;;;;;;;Thyroid hormone
GNPAT;;;;;;;Thyroid hormone
SETD4;;;;;;;Thyroid hormone
BCAS3;;;;;;;Thyroid hormone
DNAAF2;;;;;;;Thyroid hormone
MDM1;;;;;;;Thyroid hormone
LY6G6C;;;;;;;Thyroid hormone
BCL2L13;;;;;;;Thyroid hormone
TSC22D4;;;;;;;Thyroid hormone
TRAM2;;;;;;;Thyroid hormone
MAN1A2;;;;;;;Thyroid hormone
RSRC1;;;;;;;Thyroid hormone
KLHL3;;;;;;;Thyroid hormone
SSPO;;;;;;;Thyroid hormone
Vegfd;;;;;;;Thyroid hormone
Serpina3n;;;;;;;Thyroid hormone
Ank;;;;;;;Thyroid hormone
Exoc7;;;;;;;Thyroid hormone
H2-Ke6;;;;;;;Thyroid hormone
2310022B05Rik;;;;;;;Thyroid hormone
Gstm5;;;;;;;Thyroid hormone
2410006H16Rik;;;;;;;Thyroid hormone
Mpp2;;;;;;;Thyroid hormone
Jund;;;;;;;Thyroid hormone
Ccdc57;;;;;;;Thyroid hormone
Cnksr1;;;;;;;Thyroid hormone
1810055G02Rik;;;;;;;Thyroid hormone
Gnai2;;;;;;;Thyroid hormone
C1qtnf1;;;;;;;Thyroid hormone
D10Jhu81e;;;;;;;Thyroid hormone
Irgm2;;;;;;;Thyroid hormone
Fam84a;;;;;;;Thyroid hormone
Gdap10;;;;;;;Thyroid hormone
Mt2;;;;;;;Thyroid hormone
Pabpc1l;;;;;;;Thyroid hormone
Wfdc17;;;;;;;Thyroid hormone
Rbm20;;;;;;;Thyroid hormone
Sult1e1;;;;;;;Thyroid hormone
Neu2;;;;;;;Thyroid hormone
Cyp2j13;;;;;;;Thyroid hormone
Wfikkn1;;;;;;;Thyroid hormone
