"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"5","ABCC9","Estrogen","DEG",-0.403909464484482,-0.502715872065733,0.0184806623276838
"11","ABLIM3","Androgen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169
"12","ABLIM3","Estrogen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169
"13","ACRBP","Thyroid","DEG",-0.463221498139088,-0.777316533008405,0.0113367525386081
"14","ACTN2","Androgen","DEG",-0.454784701751081,-0.689801484576385,0.0378309269223369
"15","ADAM11","Estrogen","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"16","ADAM11","PPAR","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"17","ADAM11","Thyroid","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"18","ADAM12","Thyroid","DEG",-0.453247734523945,-1.13190117882912,0.000626329044586337
"19","ADAM20","Androgen","DEG",-0.680251683339829,-0.727917387697188,0.0143396356171099
"20","ADAM21","Androgen","DEG",-0.921885099340767,-1.19912864189894,0.00103269316847712
"21","ADGRL2","Retinoic","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"22","ADGRL2","Estrogen","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"23","ADGRL2","Thyroid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"24","ADGRL2","Corticoid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"28","AKR1C2","Androgen","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307
"29","AKR1C2","Progesterone","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307
"31","ANGPTL4","Thyroid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"32","ANGPTL4","PPAR","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"33","ANGPTL4","Corticoid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"34","ANGPTL4","Estrogen","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"35","ANKRD37","Androgen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493
"36","ANKRD37","Estrogen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493
"37","APOBEC2","Thyroid","DEG",-0.585092468553657,-0.710182021067935,0.0158417080342668
"38","APOE","PPAR","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"39","APOE","Estrogen","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"40","APOE","Retinoic","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"41","APOE","Progesterone","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"42","AR","Androgen","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762
