"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"68","ATF5","Retinoic","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"69","ATF5","Estrogen","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"70","ATF5","Corticoid","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"71","ATF5","PPAR","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"72","ATG9B","PPAR","DEG",-0.549169640341461,-0.0904593331446291,0.0397295726220233
"73","ATG9B","Thyroid","DEG",-0.549169640341461,-0.0904593331446291,0.0397295726220233
"74","BCAT1","Progesterone","DEG",-0.0561520093184085,0.15788244479958,0.0602591357092784
"75","BCL11B","Estrogen","PsychencodeTF",0.302632587606205,0.358690507925577,0.0168330490287992
"76","BCL6","Progesterone","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"77","BCL6","Thyroid","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"78","BCL6","PPAR","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"79","BCO1","Thyroid","DEG",-0.117743368060145,0.549212553088567,0.0329167482637771
"80","BEAN1","Estrogen","DEG",-0.494740571201158,-0.692416386587935,0.0136364924143463
"81","BGN","Thyroid","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
"82","BGN","PPAR","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
"83","BGN","Progesterone","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
"84","BMP2","Corticoid","DEG",0.10897939074358,0.0458706353995599,0.918638171064906
"85","BMP2","Estrogen","DEG",0.10897939074358,0.0458706353995599,0.918638171064906
"86","BMPER","Thyroid","DEG",-0.170773830641646,-1.00046712374517,0.0337769482573724
"87","BMPER","Estrogen","DEG",-0.170773830641646,-1.00046712374517,0.0337769482573724
"88","BMPER","Retinoic","DEG",-0.170773830641646,-1.00046712374517,0.0337769482573724
"89","BNC2","Androgen","DEG",-0.162343361306179,-0.997317188949141,0.00743214564780831
"90","BRD3","PPAR","DEG",0.492718962897705,0.589662449173081,0.0152055342752791
"91","BRD3","Corticoid","DEG",0.492718962897705,0.589662449173081,0.0152055342752791
"92","BRINP3","Retinoic","DEG",-0.880345467969379,-0.313432903090704,0.042266792805655
"93","C1QTNF7","Thyroid","DEG",-0.781850005964527,-1.01474193650497,0.00334633238570132
"94","C4orf19","Thyroid","DEG",0.0374948774273088,0.622008458332561,0.00345485450179155
"95","C4orf19","Androgen","DEG",0.0374948774273088,0.622008458332561,0.00345485450179155
"96","C4orf48","Thyroid","DEG",1.00296175477924,1.13868814058214,0.0221409206971639
"97","C4orf48","Progesterone","DEG",1.00296175477924,1.13868814058214,0.0221409206971639
"98","CA13","Thyroid","DEG",-0.330024624990828,-0.590366492756576,0.0287009687999792
"99","CALB1","Estrogen","DEG",0.615933590365786,0.259355927342253,0.0124797794290657
"100","CALB1","Progesterone","DEG",0.615933590365786,0.259355927342253,0.0124797794290657
"101","CALB2","Estrogen","DEG",-0.00446255864007065,-1.26001199223954,0.000203270232213033
"102","CAPG","Thyroid","DEG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"103","CAPG","Corticoid","DEG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"104","CAPG","Estrogen","DEG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"105","CAPG","Progesterone","DEG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"106","CAPG","Androgen","DEG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"107","CBLN2","Thyroid","DEG",-0.0420123053469026,-0.56658907262171,0.00448649464565417
"108","CCDC124","Thyroid","DEG",0.420711536468938,0.535296957996334,0.0185342185483846
"109","CCDC124","PPAR","DEG",0.420711536468938,0.535296957996334,0.0185342185483846
"110","CCDC136","Thyroid","DEG",-0.390163820634222,-0.512032924420048,0.000115652320415034
"111","CCDC170","PPAR","DEG",0.074931265651624,0.76570011117157,0.034593319586132
"112","CCDC85B","Thyroid","DEG",0.98394542808839,1.02977125591527,0.0103853940831626
"113","CCDC85B","Estrogen","DEG",0.98394542808839,1.02977125591527,0.0103853940831626
"114","CCDC85B","PPAR","DEG",0.98394542808839,1.02977125591527,0.0103853940831626
"115","CCDC86","Androgen","DEG",0.289129013881499,0.54230868306167,0.0159389529439372
"116","CCDC86","Progesterone","DEG",0.289129013881499,0.54230868306167,0.0159389529439372
"117","CCDC86","Thyroid","DEG",0.289129013881499,0.54230868306167,0.0159389529439372
