"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"NR5A2","NR5A2","PsychencodeTF&DEG",0.0928044130171977,-0.61992176564139,0.0335567144104761,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"NR6A1","NR6A1","PsychencodeTF&DEG",-0.248525302392695,-0.580927597128913,0.00459098859703784,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"NRBP2","NRBP2","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO","NO","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"NUDT13","NUDT13","DEG",-0.544551267113581,-0.527752483157113,0.0366384963034707,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"OGN","OGN","DEG",-0.163652616295894,-0.933801424490712,0.0134399319229003,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"OLFM3","OLFM3","DEG",0.514656950529577,0.17292364895133,0.00985638172346825,"YES","Thyroid","NO","PPAR","NO","NO","NO","NO"
"OLFML1","OLFML1","DEG",-0.614685879596943,-1.07848870575928,0.0117761858077858,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"ONECUT2","ONECUT2","PsychencodeTF&DEG",0.0244117355028685,-0.639925659232928,0.00175934849593666,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"P2RX7","P2RX7","DEG",-0.17328863443941,-0.900516953259507,0.0160290087429754,"YES","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"P2RY14","P2RY14","DEG",-0.625015417104674,-1.0029096989946,0.0289595412706884,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"PABPC1L","PABPC1L","DEG",-0.574583605984179,-0.321335910355615,0.0267133519501787,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"PAPPA","PAPPA","DEG",-0.476281992688163,-0.721919035467522,0.00549307939186351,"NO","NO","NO","NO","NO","NO","NO","Corticoid"
"PCDH9","PCDH9","DEG",-0.353296480738318,-0.51191575411164,0.00061209823772461,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"PDIA2","PDIA2","DEG",-0.34175626539161,-0.578018871637952,0.0452010130150742,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"PDZD7","PDZD7","DEG",-0.419010933198252,-0.893453277672234,0.00198135890545229,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"PHGDH","PHGDH","DEG",0.338810620038813,0.531806914844318,0.000365068056502048,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"PKMYT1","PKMYT1","DEG",0.813205610892794,0.765920362345957,0.0110282186376626,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"PLCE1","PLCE1","DEG",-0.532537814382793,0.0862193511865873,0.00164879395586794,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"PLCXD3","PLCXD3","DEG",-0.127035460941804,-0.548821925221212,0.0133923073243061,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"PLIN4","PLIN4","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO","Thyroid","NO","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"PLXND1","PLXND1","DEG",-0.164453869632421,-0.629994671421812,0.010700450763746,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"PODXL","PODXL","DEG",-0.562134859117822,-0.0623724796072927,0.00172956086444894,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"POSTN","POSTN","DEG",-0.627172375605265,-2.49397346590605,0.000993791241006692,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","NO"
"POU4F2","POU4F2","PsychencodeTF&DEG",0.395518794467662,-0.657705154528868,0.0326658420302039,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"PRDM16","PRDM16","PsychencodeTF",0.243105999603711,0.431469420297398,0.0266221411414178,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"PROM2","PROM2","DEG",-0.483278595216333,-0.548104224819031,0.00194806712180685,"NO","NO","Estrogen","NO","Progesterone","NO","NO","NO"
"PRPH","PRPH","DEG",0.0519558369991937,-0.952367580538563,0.00141749757330694,"NO","NO","NO","NO","NO","NO","NO","Corticoid"
"PTCH2","PTCH2","DEG",-1.07668020025538,-0.998660322871019,0.0165465205332872,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"PTGES","PTGES","DEG",-0.415166087844605,-0.705848071889705,0.00119324661289048,"NO","NO","Estrogen","PPAR","NO","NO","Retinoic","NO"
"PTHLH","PTHLH","DEG",0.0736118858267713,1.11414706083453,0.0312195741289284,"NO","NO","Estrogen","PPAR","Progesterone","NO","NO","NO"
"RAB26","RAB26","DEG",-0.117866858854822,-0.684002747643874,0.0133923073243061,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"RABAC1","RABAC1","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","Corticoid"
"RAD52","RAD52","DEG",-0.507115016201463,-0.469424028605952,0.00127908238295485,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"RBPMS","RBPMS","DEG",-0.170802792871547,-0.646108611308362,0.0114019217486277,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"RELA","RELA","PsychencodeTF",0.0428133461010799,0.13564191678651,0.04306753263541,"NO","Thyroid","NO","PPAR","Progesterone","Androgen","NO","Corticoid"
"RERG","RERG","DEG",0.588381613494822,-0.3326037177879,0.0477650239405871,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"RFX5","RFX5","PsychencodeTF",-0.149819885565329,-0.277358620409869,0.00806620323534747,"NO","NO","Estrogen","PPAR","NO","NO","Retinoic","NO"
"RGS10","RGS10","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","Retinoic","Corticoid"
"RHOF","RHOF","DEG",0.183625591734369,0.715971596045201,0.0185342185483846,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"RIBC2","RIBC2","DEG",-0.30659794902181,0.525694532265161,0.0113367525386081,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"RMI2","RMI2","DEG",0.505698979844483,0.136172371822889,0.0377572934650956,"NO","NO","NO","NO","NO","NO","Retinoic","NO"
"ROPN1L","ROPN1L","DEG",-0.0843151757151438,0.850296654022096,0.0406559524664585,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"RPLP1","RPLP1","DEG",0.214123615207517,0.588863062648015,0.0416094244828986,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"RPS15A","RPS15A","DEG",-0.318815835247253,-0.228663204982052,0.00517814756164758,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"RUNX1","RUNX1","DEG",0.389656553235118,-0.793374866099189,0.0262050751823174,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"S1PR3","S1PR3","DEG",0.207693462868085,0.801589013743214,0.00796247350056941,"NO","Thyroid","Estrogen","NO","NO","NO","NO","Corticoid"
"SALL4","SALL4","DEG",-0.309178249333693,-0.914568963569872,0.0226152037311354,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"SAT1","SAT1","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO","Thyroid","Estrogen","NO","Progesterone","Androgen","Retinoic","Corticoid"
"SCIN","SCIN","DEG",-0.897438510116257,0.27397543697774,0.0396135053251309,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"SEMA3A","SEMA3A","DEG",-0.0832614838935333,-0.625372575063252,0.0251243056183106,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"SEMA3E","SEMA3E","DEG",0.142133965550698,-0.761620086207425,0.0115035439102171,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"SERPINB9","SERPINB9","DEG",0.0869893507823516,-0.885797797329849,0.00106699356104667,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"SGK2","SGK2","DEG",-0.558265594476453,-0.599522173567086,0.0435907121106919,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"SH3GL2","SH3GL2","DEG",-0.433489469014214,-0.810540400636312,0.012680517299392,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"SH3TC2","SH3TC2","DEG",0.841960385598456,0.596740992388425,0.0209715799281685,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"SIDT1","SIDT1","DEG",-0.514667368632571,-0.899649779788102,0.0338330796217085,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"SLC16A6","SLC16A6","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"SLC35F2","SLC35F2","DEG",0.792904202481192,0.283140192749014,0.00150310843640361,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"SLC5A7","SLC5A7","DEG",-0.708741463265673,-2.17656473762325,0.00609397357273369,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"SLC6A1","SLC6A1","DEG",-0.210675339002939,-0.578226378950014,0.002909871861664,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"SLC8A1","SLC8A1","DEG",-0.584869014541011,-0.0984835120269058,0.00583628399148514,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"SLC9A4","SLC9A4","DEG",-0.479547888351676,-0.644142094985993,0.0159060518454157,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"SMIM5","SMIM5","DEG",-0.774446309998392,-0.600871116147106,0.0140726293550013,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"SNAI1","SNAI1","PsychencodeTF&DEG",0.0545433234358656,-0.541419583116797,0.0120667406550169,"NO","Thyroid","NO","PPAR","Progesterone","NO","NO","NO"
"SNAI2","SNAI2","PsychencodeTF&DEG",-0.135458250531502,-0.932039325864206,0.0237644463235054,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"SOD3","SOD3","DEG",0.0666950376034523,0.946597917240904,0.0450345100235673,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"SOX10","SOX10","PsychencodeTF&DEG",-0.711143777154578,-1.40890034865538,0.00253024755554853,"NO","NO","NO","NO","Progesterone","NO","NO","NO"
"SOX9","SOX9","PsychencodeTF",0.326612182076027,0.380690548528021,0.0224030541508607,"NO","Thyroid","Estrogen","NO","NO","Androgen","Retinoic","Corticoid"
"SP5","SP5","PsychencodeTF&DEG",0.942261223074879,0.590563188917822,0.000534755878262269,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"SPARCL1","SPARCL1","DEG",0.285177702547413,-0.594964701334972,0.00144282402790166,"YES","NO","Estrogen","PPAR","NO","NO","NO","NO"
"SPHKAP","SPHKAP","DEG",-0.170851943788246,-1.50048676997207,0.00223279089791041,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"SREBF1","SREBF1","PsychencodeTF",0.0700592232221859,0.243214932303609,0.0108409002069748,"NO","NO","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"ST8SIA3","ST8SIA3","DEG",0.135169044506443,-0.573175640001779,0.00164487997582941,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"STAG3L1","STAG3L1","DEG",-0.685405683776369,-0.686129036643806,0.0169462503500667,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"STAT2","STAT2","PsychencodeTF",-0.23953640075815,-0.231567077391035,0.0240047798203982,"YES","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"STMN2","STMN2","DEG",-0.261519673648326,-0.504050013188064,0.00176502660369358,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"TAC3","TAC3","DEG",-0.961025977403657,0.353208822109523,0.0069184028725457,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"TACC3","TACC3","DEG",0.652504603576135,0.727787430359096,0.0299304460635601,"NO","Thyroid","Estrogen","NO","NO","Androgen","NO","Corticoid"
"TENM1","TENM1","DEG",-0.373330620379897,-0.578024151784242,0.00611519486325499,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"TENM3","TENM3","DEG",0.569718274734729,0.436667973713896,0.00107252297327375,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"TFDP1","TFDP1","PsychencodeTF",0.201508021636873,0.190510995788071,0.0337283180941395,"NO","Thyroid","Estrogen","PPAR","NO","NO","Retinoic","Corticoid"
"TFPI","TFPI","DEG",0.132745144675113,-0.570880792049009,0.0211046606803789,"NO","Thyroid","Estrogen","NO","Progesterone","NO","Retinoic","NO"
"TGFB2","TGFB2","DEG",0.666073998084611,0.538769869796921,0.0027001940758856,"NO","Thyroid","Estrogen","NO","Progesterone","NO","NO","NO"
"TGM1","TGM1","DEG",-0.766146397741939,-0.65144800757696,0.023560157084707,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"TH","TH","DEG",0.317341827487182,-0.566752171147801,0.00164487997582941,"YES","NO","Estrogen","NO","NO","NO","NO","Corticoid"
"THBS1","THBS1","DEG",-0.558582022182618,-0.127540714333524,0.0316627215425681,"YES","Thyroid","NO","NO","Progesterone","Androgen","NO","NO"
"TLE2","TLE2","DEG",-0.323516447597374,-0.822431505724464,0.026085166052587,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"TM4SF1","TM4SF1","DEG",0.53726292941247,-0.278085601702988,0.019974026622754,"NO","NO","Estrogen","NO","Progesterone","NO","NO","Corticoid"
"TMEFF2","TMEFF2","DEG",0.206760228888835,-0.602794875386714,0.000224932094635943,"YES","NO","NO","NO","NO","Androgen","NO","NO"
"TNFRSF25","TNFRSF25","DEG",-0.611497409909829,-0.652058341237613,0.0163571299935814,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"TP73","TP73","PsychencodeTF",-0.251723484815689,0.217289168073896,0.00130440556755736,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"TPGS1","TPGS1","DEG",1.31819098661005,1.24630695208178,0.0369402790372943,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"TRAPPC5","TRAPPC5","DEG",0.581383265535418,0.593118708528309,0.0408613030437936,"NO","NO","Estrogen","PPAR","NO","NO","NO","NO"
"TRIL","TRIL","DEG",0.850296660742963,0.23815344476355,0.00187818503848571,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"TRIM22","TRIM22","DEG",-0.689264518978677,-0.180216890007373,0.00357664318430071,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"TSNAXIP1","TSNAXIP1","DEG",-0.584588457167623,-0.352233789756161,0.0227099091022657,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"TTYH3","TTYH3","DEG",0.375147665772667,0.524040521297192,0.00769871500476951,"NO","Thyroid","NO","NO","NO","NO","NO","Corticoid"
"TVP23C","TVP23C","DEG",-0.436529567710279,-0.585240766265119,0.00113639995561922,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"TWIST1","TWIST1","DEG",-0.0714762104482882,-1.39517291791241,0.0304693649306935,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"TXN2","TXN2","DEG",0.238239199363567,0.541762322050727,0.0308631230305469,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"TYMS","TYMS","DEG",0.443327360350589,0.517562406018574,0.0396135053251309,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","Corticoid"
"USP6","USP6","DEG",-0.518301643815809,-0.493535842293208,0.026085166052587,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"VGF","VGF","DEG",0.772946716568579,0.701722788753423,0.0135053494202163,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"VIPR2","VIPR2","DEG",-0.140742348888102,-0.777192125500756,0.00878281857264891,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"WFDC2","WFDC2","DEG",0.413385078796987,0.955957834124166,0.0225882180107447,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"WNT1","WNT1","DEG",0.423573429994129,-0.730590399935368,0.00812050501252125,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"WNT10B","WNT10B","DEG",-0.0680960625322322,-0.880285345087491,0.00640476628931998,"NO","NO","NO","NO","NO","NO","Retinoic","NO"
"WSB1","WSB1","DEG",-0.562357615857009,-0.464497280436176,0.000365068056502048,"NO","Thyroid","NO","NO","NO","Androgen","NO","NO"
"XDH","XDH","DEG",-0.532514049019781,-0.51573478956978,0.0144682100723212,"NO","Thyroid","NO","PPAR","Progesterone","NO","NO","NO"
"ZBTB7A","ZBTB7A","PsychencodeTF",0.239967001466287,0.340341531511731,0.0496103882321382,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"ZFHX3","ZFHX3","PsychencodeTF",0.11892834211551,-0.163301911055503,0.0312195741289284,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"ZNF219","ZNF219","PsychencodeTF",0.252740077847568,0.250665936263086,0.0432884333364317,"YES","Thyroid","NO","PPAR","NO","NO","NO","NO"
