"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"CEL","CEL","DEG",-0.842467761686196,-0.295625072796856,0.0035486128610924,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"CENPA","CENPA","DEG",0.55724182373281,0.447381887892277,0.0267133519501787,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"CENPB","CENPB","PsychencodeTF",0.0997016216463671,0.221288092777923,0.0170637621250047,"NO","Thyroid","NO","PPAR","Progesterone","NO","NO","NO"
"CHST9","CHST9","DEG",0.124425752398506,-0.875916589142892,0.0211046606803789,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"CLEC18B","CLEC18B","DEG",-0.41455256866648,-0.701224822727199,0.032550269507185,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"CNN1","CNN1","DEG",-0.477752798180282,-0.737184263054846,0.0236011533662439,"NO","NO","NO","NO","Progesterone","NO","NO","NO"
"COL12A1","COL12A1","DEG",-0.57706816998572,-2.00465748908153,0.000528217557308281,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"COL14A1","COL14A1","DEG",-0.415281403337354,-1.42816604579296,0.00549307939186351,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"COL16A1","COL16A1","DEG",-0.351160445181752,-1.60459499895255,0.000302114510590987,"NO","Thyroid","Estrogen","NO","Progesterone","NO","Retinoic","NO"
"COL18A1","COL18A1","DEG",0.571802124558001,0.446182594442239,0.00715939162561959,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"COL1A1","COL1A1","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"COL1A2","COL1A2","DEG",-0.311737572443864,-2.21440519556264,0.000657612606998377,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"COL3A1","COL3A1","DEG",-0.356264282295414,-2.47024630242563,0.000485604023406727,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"COL5A2","COL5A2","DEG",-0.137192140510986,-0.550423310552157,0.00375844717091622,"NO","NO","Estrogen","NO","Progesterone","NO","NO","NO"
"COL5A3","COL5A3","DEG",-0.490013458918549,-1.26569777474374,0.00795310467624935,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"COL6A3","COL6A3","DEG",0.172415897977239,-1.57403081976256,0.00105517374919419,"NO","Thyroid","Estrogen","NO","Progesterone","NO","NO","NO"
"COL9A2","COL9A2","DEG",0.695062143900674,0.56945826193145,0.00328019970215548,"NO","NO","NO","NO","NO","NO","Retinoic","NO"
"COLGALT2","COLGALT2","DEG",0.544232106333767,0.232961790753671,0.015063089896998,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"COX7B","COX7B","DEG",-0.413426254745475,-0.369954768688896,0.00141749757330694,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","NO"
"CPED1","CPED1","DEG",-0.372960059893656,-2.29379053622183,0.00172342996034594,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"CRISPLD2","CRISPLD2","DEG",0.628482527757186,0.101087205408324,0.0379432471031565,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","NO","Corticoid"
"CRYAB","CRYAB","DEG",0.138472226433233,0.707235044737769,0.00309263272499865,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","NO","Corticoid"
"CSAD","CSAD","DEG",-0.519211175986888,-0.384957903017939,0.0261243917535783,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","Corticoid"
"CTSK","CTSK","DEG",-0.300072207223094,-0.777062900256378,0.00146248596828294,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","NO","NO"
"CXCL12","CXCL12","DEG",0.0514153808071328,-0.610699101620344,0.0331414400810977,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"CYP2D7","CYP2D7","DEG",-0.416169292438954,-0.663853249972647,0.0374287578199318,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"CYP3A5","CYP3A5","DEG",-0.463904334362745,-0.993190361456499,0.0027106928549217,"NO","Thyroid","Estrogen","NO","NO","NO","Retinoic","NO"
"DAAM2","DAAM2","DEG",-0.22065612733336,-0.648890342313847,0.0102386981404904,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"DCN","DCN","DEG",-0.188022171899347,-1.27122583957837,0.00610575121046428,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"DDIT4L","DDIT4L","DEG",0.716754079749823,0.587743144162443,0.00610575121046428,"NO","Thyroid","NO","NO","NO","Androgen","NO","NO"
"DES","DES","DEG",-0.0709773395562318,-0.749341118793084,0.0297055929586817,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"DHRS2","DHRS2","DEG",0.0642907879822127,-0.609808461414797,0.0354105101310009,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"DKK1","DKK1","DEG",-0.526828026118269,-1.11058230311558,0.0239090755665099,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"DKKL1","DKKL1","DEG",0.202259340288256,0.553302818779032,0.0198513466710138,"NO","NO","NO","NO","Progesterone","Androgen","Retinoic","NO"
"DMRT3","DMRT3","DEG",0.0533657487056807,1.00412269650762,0.0377572934650956,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"DNAJA4","DNAJA4","DEG",0.00813750611144551,-0.684412559635187,0.0184804085793337,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"DNM3OS","DNM3OS","DEG",-0.650637518147545,-1.12271818090213,0.00446470312361637,"NO","NO","NO","NO","Progesterone","NO","NO","NO"
"DPF3","DPF3","DEG",-0.312849811682775,-0.896524761335032,0.0101344038510078,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"DPYD","DPYD","DEG",-0.419650915779804,-0.591270834998584,0.00525812971900212,"YES","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"DRD2","DRD2","DEG",0.170673560788749,-0.657846670591523,0.0147116784345164,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"E2F3","E2F3","PsychencodeTF",0.324620731855959,0.159544508015238,0.0299804833772516,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"EBF1","EBF1","PsychencodeTF&DEG",-0.0944789048831607,-0.594415264694554,0.0034617692200074,"NO","NO","NO","PPAR","Progesterone","NO","NO","NO"
"EBLN2","EBLN2","DEG",-0.596544403519355,-0.566983175159947,0.00597289294055474,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"EDNRA","EDNRA","DEG",-0.183450995287246,-1.51644564860499,0.000534755878262269,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"EFNA5","EFNA5","DEG",0.510440046202,-0.124554051449789,0.0120667406550169,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"EFNB3","EFNB3","DEG",-0.13030254509344,-0.546455265587588,0.0015174870250371,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"EGF","EGF","DEG",-0.833542073649662,-0.342255916679542,0.0445673206164762,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"EMILIN1","EMILIN1","DEG",0.32072501668959,-0.930676594908432,0.00157867400664463,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"ENG","ENG","DEG",-0.224592642806124,-0.554890941615859,0.0492228536300098,"NO","Thyroid","NO","NO","NO","NO","NO","Corticoid"
"EPHA7","EPHA7","DEG",0.652159567277465,0.308450202761532,0.0337283180941395,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"ESRRA","ESRRA","PsychencodeTF",0.198367347558817,0.484018034611833,0.00470250825474007,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"FABP3","FABP3","DEG",-0.547946273996443,-0.508394794752759,0.00848437409960864,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"FABP7","FABP7","DEG",-0.584771732860321,-0.217145373315048,0.0313881338302605,"YES","NO","NO","PPAR","NO","NO","NO","NO"
