"","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"GLIS3",0.259306656832075,0.141018152565656,0.333563708531793
"TMEM186",0.0724680503051199,0.174564028590934,0.352036295465281
"EIF5B",0.278265512211193,0.117893091517222,0.359503417322596
"MLX",0.00322008527930097,0.106791400923097,0.367661379064421
"RAB20",-0.427881556941957,-0.115266044306083,0.402221111223035
"COL8A2",-0.163772325151192,-0.306187038963989,0.408309980856245
"SERPINF1",0.0826288353153546,0.279769344212,0.410487539063141
"FOXP1",-0.0382888895179771,0.0528581911583702,0.414803426526479
"DHRS3",0.25487083094795,0.372416546374109,0.477315057749053
"RPS21",-0.00964760333790902,0.0905105087593151,0.500354252739853
"REEP6",0.204806056860229,0.178306449163772,0.505396753528921
"LOX",0.0427857882300253,0.117606770223145,0.525298516664114
"FXYD7",-0.24819470374621,0.00865007156510145,0.536554135254745
"PATZ1",0.0393402339808494,0.0523884627571248,0.550446760101439
"NFAM1",0.417016421341225,0.262270576599896,0.579233573832628
"PPARGC1A",0.0495380775097616,0.0854559722209274,0.599768145662987
"FOXM1",0.215300372713745,0.222981537279094,0.605879296683787
"E2F1",0.162212418032872,0.125159461231607,0.631994016723859
"HIST1H3A",0.198659971152651,0.0946056757633392,0.648547548569726
"OTX2",0.185834851310893,0.113828493606963,0.658642329377755
"SMOC2",-0.349425591780096,-0.304351371850108,0.677489459510643
"ICAM1",-0.0211815457448306,-0.153679753394506,0.688336955227106
"RAB13",-0.151670867219655,-0.226485766663391,0.689161202953773
"SPON2",0.198260373763657,0.0522286047583746,0.691264529157067
"ABCG1",-0.0202325000239512,0.06093500261999,0.702181584698148
"CAPG",-0.249669598425761,-0.0293059666362426,0.703736468957214
"IMMP1L",-0.120834411536061,-0.0607208442739548,0.713446310090652
"GPX3",-0.0125255578417354,-0.109045621719526,0.728459648649791
"THSD4",-0.127825674869624,-0.0376969345135533,0.767989651293324
"SREBF2",-0.0432321405919609,-0.0124019377086792,0.829878911336809
"CPLX2",0.0883427243240045,0.083311266701862,0.838246613101595
"EFEMP1",-0.00760738536830142,-0.0930913271271839,0.872742350243232
"ABCB1",0.135856985129205,0.0894094133458125,0.898799528097719
"TPRKB",0.0267168533839345,0.0550399746752384,0.902368151479474
"LGI4",-0.11081368219116,-0.0465178114628921,0.90895183757915
"BMP2",0.10897939074358,0.0458706353995599,0.918638171064906
"CREB3",-0.0157663189035482,0.0071127061265231,0.92301000023428
"BCL6",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"CEBPD",0.108434798434517,0.0929276781842397,0.945237907444192
"RPS29",0.0250618753381093,0.0275726665899433,0.963724096745166
"FAM167A",-0.00116256851226861,0.00679455102173726,0.99365654868495
"E2F8",0.00406820920523315,-0.00635577660336908,0.998178712046554
"ZBTB7B",0.00261796116679809,0.00144901682690334,0.999678941951825
