"","x"
"1","FOXO3"
"2","CEBPB"
"3","RELA"
"4","SOX10"
"5","EBF1"
"6","ARNT2"
"7","KLF9"
"8","SNAI1"
"9","AR"
"10","SREBF1"
"11","ID1"
"12","NR1D2"
"13","FOXM1"
"14","HEY1"
"15","MLX"
"16","STAT5B"
"17","ARNTL"
"18","CENPB"
"19","BCL6"
"20","CEBPD"
"21","FOXP1"
