"","x"
"1","RFX5"
"2","NR2C1"
"3","CEBPB"
"4","TFDP1"
"5","SREBF1"
"6","ID1"
"7","NFE2L1"
"8","SOX9"
"9","KLF16"
"10","ATF5"
"11","MLX"
"12","E2F8"
"13","SOX4"
"14","SREBF2"
"15","CEBPD"
"16","FOXP1"
