"","x"
"1","CEBPB"
"2","RELA"
"3","KLF9"
"4","AR"
"5","ZBTB7A"
"6","FOXP2"
"7","HMBOX1"
"8","ID1"
"9","NFE2L1"
"10","SOX9"
"11","PATZ1"
"12","FOXM1"
"13","MAFG"
"14","ELK4"
"15","HEY1"
"16","MLX"
"17","E2F8"
"18","ARID5B"
"19","ARNTL"
"20","NFE2L2"
"21","FOXP1"
