"","x"
"1","FOXO3"
"2","RFX5"
"3","ESRRA"
"4","NR5A2"
"5","CEBPB"
"6","STAT2"
"7","ARNT2"
"8","GRHL1"
"9","TFDP1"
"10","POU4F2"
"11","AR"
"12","JUND"
"13","HSF1"
"14","SREBF1"
"15","KLF3"
"16","BCL11B"
"17","ID1"
"18","SNAI2"
"19","NR1D2"
"20","NFE2L1"
"21","SOX9"
"22","ATF5"
"23","CEBPZ"
"24","FOXM1"
"25","CREB3"
"26","HEY1"
"27","PPARA"
"28","MLX"
"29","E2F8"
"30","E2F1"
"31","EGR3"
"32","STAT5B"
"33","SOX4"
"34","ARID5B"
"35","ARNTL"
"36","NFE2L2"
"37","SREBF2"
