"","x"
"1","FOXO3"
"2","CEBPB"
"3","RELA"
"4","GRHL1"
"5","TFDP1"
"6","KLF9"
"7","JUND"
"8","NR3C2"
"9","SREBF1"
"10","MEF2C"
"11","ID1"
"12","NR1D2"
"13","NFE2L1"
"14","SOX9"
"15","ATF5"
"16","FOXM1"
"17","E2F8"
"18","EGR3"
"19","STAT5B"
"20","SOX4"
"21","ARID5B"
"22","ARNTL"
"23","NFE2L2"
"24","CEBPD"
