"","x"
"1","ZNF219"
"2","ESRRA"
"3","EBF1"
"4","GRHL1"
"5","MEF2C"
"6","SNAI2"
"7","NFE2L1"
"8","SOX4"
"9","ARID5B"
"10","CENPB"
"11","NFE2L2"
"12","BCL6"
"13","SREBF2"
"14","ZBTB7B"
