"","x"
"1","ZNF219"
"2","RFX5"
"3","ESRRA"
"4","CEBPB"
"5","RELA"
"6","EBF1"
"7","ARNT2"
"8","GRHL1"
"9","TFDP1"
"10","SNAI1"
"11","SREBF1"
"12","KLF3"
"13","MEF2C"
"14","ID1"
"15","SNAI2"
"16","TP73"
"17","NFE2L1"
"18","ATF5"
"19","CREB3"
"20","PPARA"
"21","E2F8"
"22","E2F1"
"23","STAT5B"
"24","SOX4"
"25","ARID5B"
"26","ARNTL"
"27","CENPB"
"28","NFE2L2"
"29","BCL6"
"30","SREBF2"
"31","ZBTB7B"
"32","FOXP1"
